code,Company name,Listing date,GICs industry group,Market Cap
LSF,L1 LONG SHORT FUND LIMITED,2018-04-24,Not Applic,1796817565
ZEL,Z ENERGY LIMITED.,2013-08-19,Energy,1794958162
PPT,PERPETUAL LIMITED,1964-06-24,Diversified Financials,1781368491
RRL,REGIS RESOURCES LIMITED,1987-02-19,Materials,1766176537
OCL,OBJECTIVE CORPORATION LIMITED,2000-08-17,Software & Services,1733793563
IVC,INVOCARE LIMITED,2003-12-04,Consumer Services,1724406974
CMM,CAPRICORN METALS LTD,2008-07-07,Materials,1686975166
ARF,ARENA REIT.,2013-06-13,Real Estate,1678568166
IPH,IPH LIMITED,2014-11-19,Commercial & Professional Services,1673967125
GUD,G.U.D. HOLDINGS LIMITED,1962-06-30,Automobiles & Components,1665375307
SMR,STANMORE RESOURCES LIMITED,2009-12-09,Energy,1663049233
